iShares Core S&P 500 ETF
Fund Holdings as of,"Jul 31, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"900,000,000"
Stock,-,-
Bond,-,-

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency
AAPL,APPLE INC,Information Technology,Equity,"1,000,000",7.05,"1,000,000","5,000",037833100,US0378331005,2046251,230.00,United States,NASDAQ,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,"950,000",6.60,"950,000","2,000",594918104,US5949181045,2588173,470.00,United States,NASDAQ,USD
NVDA,NVIDIA CORP,Information Technology,Equity,"900,000",6.10,"900,000","7,000",67066G104,US67066G1040,2379504,128.00,United States,NASDAQ,USD
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"600,000",4.05,"600,000","3,000",023135106,US0231351067,2000019,205.00,United States,NASDAQ,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,"400,000",2.55,"400,000","800",30303M102,US30303M1027,B7TL820,520.00,United States,NASDAQ,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"350,000",2.10,"350,000","1,900",02079K305,US02079K3059,BYVY8G0,185.00,United States,NASDAQ,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"300,000",1.75,"300,000","700",084670702,US0846707026,2073390,460.00,United States,NYSE,USD
LLY,ELI LILLY,Health Care,Equity,"280,000",1.45,"280,000","300",532457108,US5324571083,2516152,900.00,United States,NYSE,USD
AVGO,BROADCOM INC,Information Technology,Equity,"260,000",1.40,"260,000","1,600",11135F101,US11135F1012,BDZ78H9,165.00,United States,NASDAQ,USD
JPM,JPMORGAN CHASE & CO,Financials,Equity,"240,000",1.30,"240,000","1,000",46625H100,US46625H1005,2190385,240.00,United States,NYSE,USD
