Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL,"5,000","1,000,000",8.90,APPLE INC,COMMON STOCK,Information Technology,07/31/2026
QQQ,594918104,MSFT,"2,000","950,000",8.20,MICROSOFT CORP,COMMON STOCK,Information Technology,07/31/2026
QQQ,67066G104,NVDA,"7,000","900,000",7.80,NVIDIA CORP,COMMON STOCK,Information Technology,07/31/2026
QQQ,023135106,AMZN,"3,000","600,000",5.30,AMAZON COM INC,COMMON STOCK,Consumer Discretionary,07/31/2026
QQQ,30303M102,META,"800","400,000",3.90,META PLATFORMS INC CLASS A,COMMON STOCK,Communication Services,07/31/2026
QQQ,02079K305,AVGO,"1,600","260,000",3.70,BROADCOM INC,COMMON STOCK,Information Technology,07/31/2026
QQQ,88160R101,TSLA,"1,200","300,000",2.90,TESLA INC,COMMON STOCK,Consumer Discretionary,07/31/2026
QQQ,64110L106,NFLX,"400","250,000",2.10,NETFLIX INC,COMMON STOCK,Communication Services,07/31/2026
QQQ,00507V109,GOOGL,"1,900","350,000",2.00,ALPHABET INC CLASS A,COMMON STOCK,Communication Services,07/31/2026
QQQ,68389X105,ORCL,"1,000","240,000",1.30,ORACLE CORP,COMMON STOCK,Information Technology,07/31/2026
