Fund Name:,SPDR S&P 500 ETF Trust
Ticker Symbol:,SPY
Holdings: as of,"31-Jul-2026"
Fund Holdings are subject to change.
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
APPLE INC,AAPL,037833100,2046251,7.06,Information Technology,"170,000,000",USD
MICROSOFT CORP,MSFT,594918104,2588173,6.61,Information Technology,"85,000,000",USD
NVIDIA CORP,NVDA,67066G104,2379504,6.12,Information Technology,"290,000,000",USD
AMAZON.COM INC,AMZN,023135106,2000019,4.06,Consumer Discretionary,"95,000,000",USD
META PLATFORMS INC CLASS A,META,30303M102,B7TL820,2.56,Communication Services,"22,000,000",USD
ALPHABET INC CLASS A,GOOGL,02079K305,BYVY8G0,2.11,Communication Services,"55,000,000",USD
BERKSHIRE HATHAWAY INC CL B,BRKB,084670702,2073390,1.76,Financials,"28,000,000",USD
BROADCOM INC,AVGO,11135F101,BDZ78H9,1.41,Information Technology,"52,000,000",USD
ELI LILLY & CO,LLY,532457108,2516152,1.46,Health Care,"12,000,000",USD
JPMORGAN CHASE & CO,JPM,46625H100,2190385,1.31,Financials,"41,000,000",USD
